"last_value","estimated_value","difference","orderbook_diff"
25349.2685714286,25340.1195700455,9.14900138310622,-13.9464
25394.3433333333,25367.2988910106,27.0444423227018,-3.62157
25435.72,25401.4965878739,34.223412126099,-12.02644
25441.59,25466.9674856868,-25.3774856868367,-21.12639
25433.4966666667,25408.3040440436,25.1926226230571,-13.17449
25424.83,25408.0979288527,16.7320711473039,-17.6965
25425.99,25437.0937440795,-11.1037440794753,-9.82828
25412.138,25425.7871145904,-13.6491145903674,-18.60679
25448.705,25428.2230722348,20.4819277651804,0.6501
25440,25439.7952939377,0.204706062337209,1.20692
25451.6,25442.6764020567,8.92359794327058,0.94004
25430.04,25431.5596504485,-1.51965044853205,-12.41637
25433.21,25416.0138753592,17.1961246407773,-13.56951
25424.01,25421.041172559,2.96882744103277,-13.475
25432.25,25425.2188943728,7.03110562724032,-11.49536
25464.1166666667,25431.874371198,32.2422954686699,-11.30335
25468.7,25448.2458501244,20.4541498756371,-6.59262
25432.04,25429.1342108239,2.90578917614766,-9.8986
25410.65,25410.8864462416,-0.236446241575322,-2.92141
25331.38,25376.7630766822,-45.3830766821702,21.8388
25366.59,25345.2705960554,21.3194039446498,-20.66712
25370.904,25368.3365287151,2.56747128492134,-17.81136
25368.725,25372.7732262789,-4.04822627886097,-10.84407
25380.08,25380.7442852929,-0.664285292856221,-6.71242
25390.17,25387.1843245512,2.98567544879916,-22.66097
25384.54,25386.3667878912,-1.82678789115016,-5.49197
25377.26,25390.4547963956,-13.1947963955572,-11.68012
25387.3175,25389.7776344922,-2.46013449215025,-16.54014
25379.4266666667,25390.0871013684,-10.6604347017201,-13.09424
25376.9,25386.2078341988,-9.30783419880026,-13.30386
25344.13,25369.4986747205,-25.3686747205029,9.19036
25378.75,25386.212247073,-7.4622470730319,-11.85331
25402.135,25395.1679073097,6.96709269030544,-22.27585
25383.4275,25396.8040364783,-13.3765364783067,-15.54463
25388.884,25389.3605555485,-0.476555548517354,-14.17209
25412.99,25394.2829086309,18.7070913690732,-17.55636
25409.04,25403.1836074486,5.8563925513663,-12.49343
25409.97,25402.1371396025,7.83286039745144,-13.12335
25423.55,25408.0049286913,15.545071308683,-13.14487
25402.745,25412.0284977831,-9.28349778311895,-11.25489
25405.8,25409.2741097492,-3.47410974920058,-9.91316
25411,25410.6236392346,0.376360765367281,-12.06166
25411.83,25407.9413471071,3.8886528928706,-10.39341
25425.11,25415.1856789797,9.92432102031307,-5.52054
25414,25413.0332117281,0.966788271882251,-10.19002
25402.56,25407.0578068471,-4.49780684711732,-9.88546
25413.32,25403.7935909955,9.5264090045348,-17.30938
25410.6775,25402.5763437695,8.10115623048478,-24.24127
25405.93,25413.1250191765,-7.19501917648449,-17.97363
25406.11,25393.161978579,12.9480214210162,-27.11728
25381.69,25395.1284906595,-13.4384906594642,-26.34223
25379.9733333333,25393.1010117054,-13.1276783720314,-14.97397
25392.32,25372.9635980095,19.3564019904734,-23.56538
25395.77,25389.3010275859,6.46897241410261,-23.17562
25399.01,25388.9585088793,10.0514911206847,-29.07381
25386.33,25386.4358256415,-0.105825641512638,-45.61728
25369.7666666667,25368.1505762611,1.61609040561598,-37.2051
25366.38,25363.3391929753,3.04080702466672,-22.27785
25360.61,25369.8421474309,-9.23214743089193,-23.28299
25375.58,25365.2236129743,10.3563870256985,-17.41014
25365.3,25370.1919888251,-4.89198882509663,-20.56679
25425.585,25432.2931618317,-6.70816183170973,-29.11202
25433.08,25419.6045439325,13.4754560674846,-3.77019
25429.525,25437.2920940496,-7.76709404957001,4.88615
25427.14,25431.8925978055,-4.75259780549095,-11.02534
25436.95,25425.3778067886,11.5721932114247,-7.14512
25418.22,25430.0285913934,-11.8085913934228,0.3856
25419.8133333333,25422.2283762388,-2.41504290546072,-9.78914
25426.1,25425.2689595677,0.831040432258305,-11.78683
25426.525,25421.4339380558,5.09106194422202,-12.98269
25400.82,25418.1594882737,-17.3394882736866,-4.20227
25420.3875,25420.0421834249,0.345316575116158,-1.32296
25429.01,25426.2233514522,2.78664854778617,-5.43201
25439.67,25425.2978807773,14.3721192227167,-6.90631
25420.84,25421.3594573903,-0.519457390266325,-14.91533
25427.985,25418.9275552501,9.05744474992025,-14.37219
25354.99,25362.1624736469,-7.17247364694413,-29.90359
25391.74,25376.668009528,15.0719904719845,-11.08048
25404.015,25412.4670143207,-8.45201432072645,-6.7891
25409.37,25408.0295439641,1.34045603593768,-4.39272
25375.21,25400.4519900604,-25.2419900604218,-13.25854
25399.2933333333,25393.0881183776,6.20521495572029,-7.45152
25433.6533333333,25424.2469836958,9.40634963753109,-15.77166
25447.06125,25438.245722104,8.81552789595298,-16.36611
25450.48,25444.1734655148,6.30653448523299,-12.72791
25440.0866666667,25450.3290722988,-10.2424056321397,-22.45659
25439.706,25437.2346876659,2.47131233410255,-20.56665
25408.83,25423.8970196592,-15.0670196591745,2.39184
25385.62,25410.1801702426,-24.5601702426029,-24.19433
